"","Ingreso","Limite","CalifCredit","Tarjetas","Edad","Educacion","Genero","Estudiante","Casado","Etnicidad","Balance"
"376",20.974,5673,413,5,44,16,"Femenino","No","1","Caucasico",1000
"377",87.625,7167,515,2,46,10,"Femenino","No","0","Afrodescendiente",767
"378",28.144,1567,142,3,51,10,"Masculino","No","1","Caucasico",0
"379",19.349,4941,366,1,33,19,"Masculino","No","1","Caucasico",717
"380",53.308,2860,214,1,84,10,"Masculino","No","1","Caucasico",0
"381",115.123,7760,538,3,83,14,"Femenino","No","0","Afrodescendiente",661
"382",101.788,8029,574,2,84,11,"Masculino","No","1","Caucasico",849
"383",24.824,5495,409,1,33,9,"Masculino","Si","0","Caucasico",1352
"384",14.292,3274,282,9,64,9,"Masculino","No","1","Caucasico",382
"385",20.088,1870,180,3,76,16,"Masculino","No","0","Afrodescendiente",0
"386",26.4,5640,398,3,58,15,"Femenino","No","0","Asiatico",905
"387",19.253,3683,287,4,57,10,"Masculino","No","0","Afrodescendiente",371
"388",16.529,1357,126,3,62,9,"Masculino","No","0","Asiatico",0
"389",37.878,6827,482,2,80,13,"Femenino","No","0","Caucasico",1129
"390",83.948,7100,503,2,44,18,"Masculino","No","0","Caucasico",806
"391",135.118,10578,747,3,81,15,"Femenino","No","1","Asiatico",1393
"392",73.327,6555,472,2,43,15,"Femenino","No","0","Caucasico",721
"393",25.974,2308,196,2,24,10,"Masculino","No","0","Asiatico",0
"394",17.316,1335,138,2,65,13,"Masculino","No","0","Afrodescendiente",0
"395",49.794,5758,410,4,40,8,"Masculino","No","0","Caucasico",734
"396",12.096,4100,307,3,32,13,"Masculino","No","1","Caucasico",560
"397",13.364,3838,296,5,65,17,"Masculino","No","0","Afrodescendiente",480
"398",57.872,4171,321,5,67,12,"Femenino","No","1","Caucasico",138
"399",37.728,2525,192,1,44,13,"Masculino","No","1","Caucasico",0
"400",18.701,5524,415,5,64,7,"Femenino","No","0","Asiatico",966
